IGH,0,0.3,1
IGK,0.2222222222,0.5,0.6
IGL,0.5,0.4,0.5

IGHA1,0.9444444444444444,0.7,1.0
IGHA2,0.9444444444444444,0.6,0.8
IGHE,0.1666666667,0.5,1
IGHG1,0,0.3,1.0
IGHG2,0,0.4,0.7
IGHG3,0,0.6,0.3
IGHG4,0,0.5,0.1
IGHM,0.0555555556,0.2,0.4
IGLC1,0.5,0.4,0.29999999999999999
IGLC2,0.5,0.4,0.69999999999999996
IGLC3,0.5,0.4,0.90000000000000002
IGLC7,0.5,0.20000000000000001,0.49999999999999994
IGKC,0.2222222222,0.5,0.6

IGHD1,0,0.83,0
IGHD2,0,0.83,0
IGHD3,0,0.83,0
IGHD4,0,0.83,0
IGHD5,0,0.83,0
IGHD6,0,0.83,0
IGHD7,0,0.83,0
IGHJ1,0.0555555556,0.3,1
IGHJ1P,0,0.83,0
IGHJ2,0.9444444444,0.7,1
IGHJ2P,0,0.83,0
IGHJ3,0.8333333333,0.3,0.3333333333
IGHJ3P,0,0.83,0
IGHJ4,0.5,0.4,0.5
IGHJ5,0.2222222222,0.5,0.6
IGHJ6,0.1666666667,0.5,1
A12,0,0.83,0
A15,0,0.83,0
A16,0,0.83,0
A21,0,0.83,0
A22,0,0.83,0
A24,0,0.83,0
A25,0,0.83,0
A28,0,0.83,0
A4a,0,0.83,0
A6,0,0.83,0
A8,0,0.83,0
A9,0,0.83,0
IGHV1,0.0555555556,0.3,1
IGHV1/OR15,0,0.83,0
IGHV1/OR21,0,0.83,0
IGHV2,0.2222222222,0.5,0.6
IGHV2/OR16,0,0.83,0
IGHV3,0.5,0.4,0.5
IGHV3/OR15,0,0.83,0
IGHV3/OR16,0,0.83,0
IGHV4,0.1666666667,0.5,1
IGHV4/OR15,0,0.83,0
IGHV5,0.8333333333,0.3,0.3333333333
IGHV6,0.1,0.5,1
IGHV7,0.9444444444,0.7,1
VH1,0,0.83,0
VH3,0,0.83,0
VH4,0,0.83,0
VH7,0,0.83,0
IGKJ1,0.0555555556,0.3,1
IGKJ2,0.8333333333,0.3,0.3333333333
IGKJ3,0.5,0.4,0.5
IGKJ4,0.2222222222,0.5,0.6
IGKJ5,0.1666666667,0.5,1
IGKV1,0.5,0.4,0.5
IGKV1/OR,0,0.83,0
IGKV1/OR1,0,0.83,0
IGKV1/OR15,0,0.83,0
IGKV1/OR2,0,0.83,0
IGKV1/OR22,0,0.83,0
IGKV1/ORY,0,0.83,0
IGKV1D,0.5833333333,0.2,1
IGKV2,0.0555555556,0.3,1
IGKV2/OR2,0,0.83,0
IGKV2/OR22,0,0.83,0
IGKV2D,0.8333333333,0.3,0.3333333333
IGKV3,0.1666666667,0.5,1
IGKV3/OR2,0,0.83,0
IGKV3D,0.2222222222,0.5,0.6
IGKV4,0.9444444444,0.7,1
IGKV5,0.9444444444,0.7,0.5
IGKV6,0.8333333333,0.3,0.3333333333
IGKV6D,0.8333333333,0.3,0.5
IGKV7,0.1,0.5,1
L17,0,0.83,0
L21,0,0.83,0
L3,0,0.83,0
L7,0,0.83,0
O10,0,0.83,0
O13,0,0.83,0
O15,0,0.83,0
O16,0,0.83,0
O17,0,0.83,0
O3,0,0.83,0
O5,0,0.83,0
O6,0,0.83,0
O6/16a,0,0.83,0
O7,0,0.83,0
O9,0,0.83,0
IGLJ1,0.0555555556,0.3,1
IGLJ2,0.9444444444,0.7,1
IGLJ3,0.8333333333,0.3,0.3333333333
IGLJ4,0.5,0.4,0.5
IGLJ5,0.5833333333,0.2,1
IGLJ6,0.2222222222,0.5,0.6
IGLJ7,0.1666666667,0.5,1
IGLV1,0.1666666667,0.5,1
IGLV10,0.8333333333,0.3,0.3333333333
IGLV11,0.8333333333,0.3,0.5
IGLV2,0.0555555556,0.3,1
IGLV3,0.5,0.4,0.5
IGLV4,0.8333333333,0.3,0.7
IGLV5,0.2222222222,0.5,0.6
IGLV6,0.5833333333,0.2,1
IGLV7,0.9444444444,0.7,1
IGLV8,0.1,0.5,1
IGLV8/OR8,0,0.83,0
IGLV9,0.5833333333,0.2,0.5
V1,0,0.83,0
V2,0,0.83,0
V3,0,0.83,0
V4,0,0.83,0
V5,0,0.83,0
DFL16,,,
DQ52-C57BL/6,,,
DSP2,,,
DST4,,,
DST4-C57BL/6,,,
JH1,,,
JH2,,,
JH3,,,
JH4,,,
36-60,,,
3609,,,
3609N,,,
7183,,,
J558,,,
J606,,,
PG,,,
Q52,,,
S107,,,
SM7,,,
VGAM3.8,,,
VH10,,,
VH11,,,
VH12,,,
VH15,,,
VH16,,,
VH3609N,,,
VH7183,,,
X24,,,
JK1,,,
JK2,,,
JK3,,,
JK4,,,
JK5,,,
1,,,
11,,,
12,,,
19,,,
2,,,
20,,,
21,,,
22,,,
23,,,
24,,,
32,,,
33,,,
38,,,
4,,,
8,,,
9,,,
dv-36,,,
RF,,,
JL1,,,
JL2,,,
JL3,,,
JL3p,,,
JL4,,,
VL1,,,
VL2,,,
VLx,,,
